Kevin Magnussen
0.01023,0,0,3505,90
0.01023,1,0,4305,90
0.01023,2,0,3505,90
0.01023,3,0,3805,90
0.01023,4,0,4305,90
0.01023,5,0,3805,90
0.01023,6,0,4305,90
0.01023,7,0,3805,90
0.01023,8,0,4305,90
0.01023,9,0,4305,90
0.01023,10,0,3505,90
0.01023,11,0,4305,90
0.01023,12,0,4305,90
0.01023,13,0,4305,90
0.01023,14,0,4305,90
0.01023,15,0,4305,90
0.01023,16,0,3505,90
0.01023,17,0,4305,90
0.01023,18,0,3805,90
0.01023,19,0,4305,88
0.02042,0,0,3507,90
0.02042,1,0,4307,90
0.02042,2,0,3507,90
0.02042,3,0,3807,90
0.02042,4,0,4307,90
0.02042,5,0,3807,90
0.02042,6,0,4307,90
0.02042,7,0,3807,90
0.02042,8,0,4307,90
0.02042,9,0,4307,90
0.02042,10,0,3507,90
0.02042,11,0,4307,90
0.02042,12,0,4307,90
0.02042,13,0,4307,90
0.02042,14,0,4307,90
0.02042,15,0,4307,90
0.02042,16,0,3507,90
0.02042,17,0,4307,90
0.02042,18,0,3807,90
0.02042,19,0,4307,88
